DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             2.5515203
Formation Factor (ratio)                5.7831594
Cementation Factor (ratio)              1.8338926
pore density (1/um3)                    1e-06
Tortuosity (ratio)                      1.2121912
Average Coordination Number             4.4564343
Average Throat Radius (um)              21.4340285
Average Pore Radius (um)                33.3936489
Average Throat Length (um)              105.3533405
Pore to Throat Aspect ratio             2.7859948
Specific Surface (1/um)                 0.0312377
Pore Sphericity (ratio)                 0.8000554
Grain Sphericity (ratio)                0.8297082
Average Grain Radius (um)               53.2911051
Relative Young Module (ratio)           0.3867657

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.3638387
0.02                                    0.2642423
0.03                                    0.2805506
0.04                                    0.1932695
0.05                                    0.3231015
0.06                                    0.1045655
0.07                                    0.1565089
0.08                                    0.15861
0.09                                    0.1142915
0.1                                     0.213679
0.11                                    0.060544
0.12                                    0.0594402
0.13                                    0.1414233
0.14                                    0.0986569
0.15                                    0.0905647
0.16                                    0.0314574
0.17                                    0.1414484
0.18                                    0.0639031
0.19                                    0.0322001
0.2                                     0.1017511
0.21                                    0.0649959
0.22                                    0.0916678
0.23                                    0.1153678
0.24                                    0.0734198
0.25                                    0.0675987
0.26                                    0.0794648
0.27                                    0.0908492
0.28                                    0.0926185
0.29                                    0.1397331
0.3                                     0.1017853
0.31                                    0.0967244
0.32                                    0.0831671
0.33                                    0.058266
0.34                                    0.0992704
0.35                                    0.1551856
0.36                                    0.0409858
0.37                                    0.0908469
0.38                                    0.1463308
0.39                                    0.0498146
0.4                                     0.1804975
0.41                                    0.1304505
0.42                                    0.0855223
0.43                                    0.0590093
0.44                                    0.1404196
0.45                                    0.1552341
0.46                                    0.0773257
0.47                                    0.0849216
0.48                                    0.0764444
0.49                                    0.0657359
0.5                                     0.055266
0.51                                    0.0577957
0.52                                    0.0689072
0.53                                    0.1133048
0.54                                    0.0250008
0.55                                    0.1570111
0.56                                    0.1048695
0.57                                    0.053534
0.58                                    0.0167381
0.59                                    0.2283153
0.6                                     0.0523496
0.61                                    0.1106016
0.62                                    0.0279355
0.63                                    0.1516456
0.64                                    0.0675128
0.65                                    0.0982708
0.66                                    0.0761741
0.67                                    0.134066
0.68                                    0.0659271
0.69                                    0.123353
0.7                                     0.0572665
0.71                                    0.0412902
0.72                                    0.0846824
0.73                                    0.051159
0.74                                    0.0330721
0.75                                    0.0778482
0.76                                    0.0529276
0.77                                    0.0397909
0.78                                    0.0718135
0.79                                    0.042136
0.8                                     0.0837849
0.81                                    0.0192075
0.82                                    0.0828032
0.83                                    0.0795459
0.84                                    0.0916169
0.85                                    0.0350179
0.86                                    0.0456784
0.87                                    0.1019351
0.88                                    0.067154
0.89                                    0.0479017
0.9                                     0.0723484
0.91                                    0.0783856
0.92                                    0.0585571
0.93                                    0.0887325
0.94                                    0.0407021
0.95                                    0.070183
0.96                                    0.0538308
0.97                                    0.104506
0.98                                    0.0506579
0.99                                    0.0490966
1.0                                     0.0192627


