DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Formation Factor (ratio)                14.6108073
Cementation Factor (ratio)              1.9886738
Tortuosity (ratio)                      1.3931904
Average Coordination Number             4.4348736
Specific Surface (1/um)                 0.0191483
Grain Sphericity (ratio)                0.8095424
Average Grain Radius (um)               45.8564624
Relative Young Module (ratio)           0.1241245

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Two-point Correlation Function (1/um)
--------------------------------------------------
lag (px)                                Value
--------------------------------------------------
0.5                                     0.0570726
1.0                                     0.0633619
1.5                                     0.0490815
2.0                                     0.0513182
2.5                                     0.0571734
3.0                                     0.0550566
3.5                                     0.0573997
4.0                                     0.0549077
4.5                                     0.053049
5.0                                     0.054486
5.5                                     0.0548746
6.0                                     0.0511366
6.5                                     0.0495419
7.0                                     0.0545434
7.5                                     0.0480204
8.0                                     0.0438636
8.5                                     0.0508813
9.0                                     0.054319
9.5                                     0.0528451
10.0                                    0.0544373
10.5                                    0.0550227
11.0                                    0.0530706
11.5                                    0.0481553
12.0                                    0.0506617
12.5                                    0.0478492
13.0                                    0.0576613
13.5                                    0.0484855
14.0                                    0.0514591
14.5                                    0.0515767
15.0                                    0.0442322
15.5                                    0.0515616
16.0                                    0.0535148
16.5                                    0.0537998
17.0                                    0.0540418
17.5                                    0.0537594
18.0                                    0.051734
18.5                                    0.0483991
19.0                                    0.0535874
19.5                                    0.049793
20.0                                    0.0433776
20.5                                    0.0587755
21.0                                    0.0486256
21.5                                    0.0444566
22.0                                    0.052372
22.5                                    0.0433595
23.0                                    0.0549507
23.5                                    0.0445437
24.0                                    0.0504043
24.5                                    0.0452497
25.0                                    0.0507384
25.5                                    0.0493649
26.0                                    0.0538946
26.5                                    0.0430631
27.0                                    0.0505127
27.5                                    0.0525479
28.0                                    0.0510115
28.5                                    0.0498312
29.0                                    0.0520513
29.5                                    0.0468498
30.0                                    0.0522627
30.5                                    0.0521292
31.0                                    0.0515415
31.5                                    0.0560495
32.0                                    0.0581954
32.5                                    0.0545943
33.0                                    0.0462416
33.5                                    0.0500563
34.0                                    0.0480465
34.5                                    0.0467053
35.0                                    0.0424841
35.5                                    0.0456896
36.0                                    0.051564
36.5                                    0.0437633
37.0                                    0.0405186
37.5                                    0.0476437
38.0                                    0.0498262
38.5                                    0.0501743
39.0                                    0.0523865
39.5                                    0.0495962
40.0                                    0.0489148
40.5                                    0.0488292
41.0                                    0.0448423
41.5                                    0.0460403
42.0                                    0.0468048
42.5                                    0.0475002
43.0                                    0.0461989
43.5                                    0.0529502
44.0                                    0.0507256
44.5                                    0.0509465
45.0                                    0.0496497
45.5                                    0.0531715
46.0                                    0.056671
46.5                                    0.0509058
47.0                                    0.0501549
47.5                                    0.0553112
48.0                                    0.0513963
48.5                                    0.0478849
49.0                                    0.0489582
49.5                                    0.0387674
50.0                                    0.0503492


# Coordination Number Distribution
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    36.9510401
0.02                                    28.9609541
0.03                                    34.8484997
0.04                                    33.8866624
0.05                                    37.6690881
0.06                                    40.4559301
0.07                                    32.5884865
0.08                                    34.4602295
0.09                                    36.0665835
0.1                                     34.956118
0.11                                    29.4294452
0.12                                    33.976789
0.13                                    30.6067058
0.14                                    35.4639646
0.15                                    37.7836552
0.16                                    36.0081048
0.17                                    39.400213
0.18                                    35.1456842
0.19                                    35.9246188
0.2                                     39.6012781
0.21                                    35.7206938
0.22                                    32.0036771
0.23                                    36.4176153
0.24                                    31.7549087
0.25                                    33.3390648
0.26                                    31.4046374
