DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    2.5815013
0.02                                    2.1460098
0.03                                    2.1279018
0.04                                    2.5742626
0.05                                    2.7896109
0.06                                    1.6731412
0.07                                    1.7181067
0.08                                    2.2277966
0.09                                    2.2738448
0.1                                     2.1575474
0.11                                    1.9481654
0.12                                    2.3288744
0.13                                    1.7064877
0.14                                    2.0539663
0.15                                    2.3378177
0.16                                    2.1072377
0.17                                    2.5956999
0.18                                    2.1791814
0.19                                    2.0365039
0.2                                     2.3312423
0.21                                    2.7170963
0.22                                    2.0817999
0.23                                    2.1760789
0.24                                    2.5492288
0.25                                    2.2180327
0.26                                    1.6100604
0.27                                    2.4156429
0.28                                    2.210611
0.29                                    2.0528817
0.3                                     2.4109287
0.31                                    2.125859
0.32                                    2.3926139
0.33                                    2.4400663
0.34                                    2.1799924
0.35                                    2.4821714
0.36                                    2.1513972
0.37                                    1.9591575
0.38                                    2.0871252
0.39                                    2.6237029
0.4                                     1.549078
0.41                                    1.7781162
0.42                                    2.1591532
0.43                                    1.7609088
0.44                                    1.9439364
0.45                                    1.856782
0.46                                    2.4708255
0.47                                    2.691171
0.48                                    2.4289517
0.49                                    2.373114
0.5                                     2.760306
0.51                                    2.583065
0.52                                    2.3392608
0.53                                    2.3873229
0.54                                    1.9886042
0.55                                    1.8723055
0.56                                    2.4924979
0.57                                    2.1752241
0.58                                    2.7082845
0.59                                    2.2491725
0.6                                     2.467616
0.61                                    1.7804634
0.62                                    2.4812046
0.63                                    2.2860131
0.64                                    2.5413261
0.65                                    2.3925502
0.66                                    1.6286375
0.67                                    2.1128906
0.68                                    1.7684181
0.69                                    2.7739348
0.7                                     2.2590928
0.71                                    2.2734346
0.72                                    1.9657254
0.73                                    2.1589439
0.74                                    2.2910916
0.75                                    2.4939725
0.76                                    2.0566025
0.77                                    2.449888
0.78                                    2.3237761
0.79                                    2.6031271
0.8                                     1.9254462
0.81                                    1.9069373
0.82                                    2.0456664
0.83                                    2.8592574
0.84                                    2.5211214
0.85                                    2.392268
0.86                                    2.0602385
0.87                                    2.3320947
0.88                                    1.7185593
0.89                                    1.6765281
0.9                                     2.4421087
0.91                                    1.7713077
0.92                                    2.1234887
0.93                                    2.5338894
0.94                                    2.0204744
0.95                                    2.3636974
0.96                                    2.2023866
0.97                                    2.0354933
0.98                                    2.2220645
0.99                                    1.8626862
1.0                                     2.3092106


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.5414343
0.02                                    0.7392363
0.03                                    0.7801326
0.04                                    0.8611371
0.05                                    0.709535
0.06                                    0.7357938
0.07                                    0.7058743
0.08                                    0.6236329
0.09                                    0.476542
0.1                                     0.5960859
0.11                                    0.9139456
0.12                                    0.6640149
0.13                                    0.7484
0.14                                    0.7761035
0.15                                    0.7189562
0.16                                    0.4770971
0.17                                    0.848312
