DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             3.4401159
Formation Factor (ratio)                10.2518751
Cementation Factor (ratio)              2.1371576
pore density (1/um3)                    1.2e-06
Tortuosity (ratio)                      1.353249
Average Coordination Number             4.4764655
Average Throat Radius (um)              18.366014
Average Pore Radius (um)                32.1989453
Average Throat Length (um)              90.362877
Pore to Throat Aspect ratio             3.698277
Specific Surface (1/um)                 0.0207468
Pore Sphericity (ratio)                 0.7723061
Grain Sphericity (ratio)                0.8143807
Average Grain Radius (um)               46.5630315
Relative Young Module (ratio)           0.0977571

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    1.7040905
0.02                                    2.1013026
0.03                                    1.8997596
0.04                                    1.8353056
0.05                                    1.841537
0.06                                    1.8453619
0.07                                    1.9299227
0.08                                    1.7602601
0.09                                    1.9106359
0.1                                     2.0059021
0.11                                    1.8681103
0.12                                    1.8252815
0.13                                    2.0189221
0.14                                    1.8985344
0.15                                    1.7398616
0.16                                    2.1894274
0.17                                    1.8873384
0.18                                    1.8569542
0.19                                    1.7622234
0.2                                     2.0593422
0.21                                    1.6712432
0.22                                    1.7679389
0.23                                    1.6476562
0.24                                    1.8778044
0.25                                    2.0159975
0.26                                    1.7986697
0.27                                    2.02457
0.28                                    1.8249503
0.29                                    1.9462539
0.3                                     1.8536023
0.31                                    1.7068445
0.32                                    1.8750361
0.33                                    1.7440814
0.34                                    1.8769553
0.35                                    2.1221705
0.36                                    1.852222
0.37                                    1.7397815
0.38                                    1.7393565
0.39                                    1.9016664
0.4                                     1.7800214
0.41                                    1.7835538
0.42                                    1.8022716
0.43                                    1.7714035
0.44                                    1.4531998
0.45                                    1.51575
0.46                                    1.4983133
0.47                                    1.7620989
0.48                                    1.8531398
0.49                                    1.6250633
0.5                                     1.6118091
0.51                                    1.6863192
0.52                                    2.050797
0.53                                    2.1144
0.54                                    1.8656814
0.55                                    1.7620171
0.56                                    1.7709898
0.57                                    1.8948199
0.58                                    1.7319724
0.59                                    1.7375063
0.6                                     1.6064086
0.61                                    1.7797244
0.62                                    1.9856789
0.63                                    1.6572656
0.64                                    1.6770874
0.65                                    1.6776917
0.66                                    1.3903838
0.67                                    1.5392587
0.68                                    1.8390338
0.69                                    1.9136878
0.7                                     1.8715362
0.71                                    1.8022418
0.72                                    2.0358007
0.73                                    2.0242876
0.74                                    1.7084578
0.75                                    1.9909334
0.76                                    1.8118563
0.77                                    1.6915803
0.78                                    1.7363233
0.79                                    1.9838255
0.8                                     2.0390226
0.81                                    1.6676087
0.82                                    1.4409735
0.83                                    1.8199625
0.84                                    1.7298597
0.85                                    2.0350168
0.86                                    1.7756704
0.87                                    1.7991894
0.88                                    1.795292
0.89                                    2.1803936
0.9                                     1.7914102
0.91                                    1.943598
0.92                                    2.1922855
0.93                                    2.0129197
0.94                                    1.7394007
0.95                                    1.5726961
0.96                                    1.8919615
0.97                                    1.7754841
0.98                                    1.7280913
0.99                                    1.5001155
1.0                                     1.4964379


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.3123895
0.02                                    0.2940084
0.03                                    0.3246503
0.04                                    0.357065
0.05                                    0.2933188
0.06                                    0.2742264
0.07                                    0.3043383
0.08                                    0.3292037
0.09                                    0.3478217
0.1                                     0.2821798
0.11                                    0.3013775
0.12                                    0.2854604
0.13                                    0.3379231
0.14                                    0.2843418
0.15                                    0.2927233
0.16                                    0.3445344
0.17                                    0.2399951
0.18                                    0.2952792
0.19                                    0.3315927
0.2                                     0.3572511
0.21                                    0.305664
0.22                                    0.320515
0.23                                    0.3253647
0.24                                    0.3187769
0.25                                    0.3584191
0.26                                    0.2829426
0.27                                    0.2770131
0.28                                    0.378317
0.29                                    0.3447792
0.3                                     0.324343
0.31                                    0.3263254
0.32                                    0.2957209
0.33                                    0.3729711
0.34                                    0.3375533
0.35                                    0.2910091
0.36                                    0.3608154
0.37                                    0.3704988
0.38                                    0.3752559
0.39                                    0.3057529
0.4                                     0.3072987
0.41                                    0.263179
0.42                                    0.3365476
0.43                                    0.350475
0.44                                    0.3737604
0.45                                    0.3831469
0.46                                    0.3513839
0.47                                    0.3592373
0.48                                    0.3189286
0.49                                    0.3851099
0.5                                     0.3880602
0.51                                    0.366531
0.52                                    0.362346
0.53                                    0.4002769
0.54                                    0.3178162
0.55                                    0.3828146
0.56                                    0.3687062
0.57                                    0.3365851
0.58                                    0.3563294
0.59                                    0.4138451
0.6                                     0.3927302
0.61                                    0.38175
0.62                                    0.4514857
0.63                                    0.4205099
0.64                                    0.4564032
0.65                                    0.3924024
0.66                                    0.3727398
0.67                                    0.4143296
0.68                                    0.4198281
0.69                                    0.3576141
0.7                                     0.4172159
0.71                                    0.3764253
0.72                                    0.4430152
0.73                                    0.4366081
0.74                                    0.523772
0.75                                    0.5084977
0.76                                    0.5231859
0.77                                    0.4537585
0.78                                    0.507783
0.79                                    0.4870522
0.8                                     0.5524671
0.81                                    0.4566465
0.82                                    0.4727732
0.83                                    0.5912286
0.84                                    0.505927
0.85                                    0.4593011
0.86                                    0.4402807
0.87                                    0.5139881
0.88                                    0.5154205
0.89                                    0.5769315
0.9                                     0.4992811
0.91                                    0.5394128
0.92                                    0.5316249
0.93                                    0.5487933
0.94                                    0.5295479
0.95                                    0.5726942
0.96                                    0.6310459
0.97                                    0.5857181
0.98                                    0.5651836
0.99                                    0.5470444
1.0                                     0.6993551


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.7249187
0.02                                    0.669882
0.03                                    0.656797
0.04                                    0.6699408
0.05                                    0.7129047
0.06                                    0.5828666
0.07                                    0.6506323
0.08                                    0.6277276
0.09                                    0.6538228
0.1                                     0.6421013
0.11                                    0.5784429
0.12                                    0.6400601
0.13                                    0.5987263
0.14                                    0.562846
0.15                                    0.5798954
0.16                                    0.587998
0.17                                    0.6057277
0.18                                    0.5724819
0.19                                    0.5851762
0.2                                     0.5756167
0.21                                    0.5854233
0.22                                    0.5023407
0.23                                    0.503065
0.24                                    0.5045374
0.25                                    0.5616643
0.26                                    0.4779433
0.27                                    0.5679291
0.28                                    0.4772489
0.29                                    0.4811505
0.3                                     0.524024
0.31                                    0.4940584
0.32                                    0.519058
0.33                                    0.5299974
0.34                                    0.5369746
0.35                                    0.5242938
0.36                                    0.4695862
0.37                                    0.5573486
0.38                                    0.5291664
0.39                                    0.4691776
0.4                                     0.4747509
0.41                                    0.5064821
0.42                                    0.5465705
0.43                                    0.5335263
0.44                                    0.4518773
0.45                                    0.4960389
0.46                                    0.4778711
0.47                                    0.4842626
0.48                                    0.4704113
0.49                                    0.4620407
0.5                                     0.4356035
0.51                                    0.4764922
0.52                                    0.4977117
0.53                                    0.5037058
0.54                                    0.4287191
0.55                                    0.498255
0.56                                    0.4995968
0.57                                    0.4703755
0.58                                    0.4463656
0.59                                    0.4748295
0.6                                     0.4375928
0.61                                    0.5011997
0.62                                    0.4252774
0.63                                    0.4868303
0.64                                    0.3776453
0.65                                    0.4794399
0.66                                    0.4836205
0.67                                    0.4895125
0.68                                    0.4186939
0.69                                    0.4217675
0.7                                     0.4842707
0.71                                    0.4460191
0.72                                    0.5013725
0.73                                    0.43434
0.74                                    0.4579556
0.75                                    0.4169755
0.76                                    0.4263254
0.77                                    0.5116883
0.78                                    0.4594341
0.79                                    0.4956991
0.8                                     0.4220799
0.81                                    0.359259
0.82                                    0.4247275
0.83                                    0.4030749
0.84                                    0.3999348
0.85                                    0.3763016
0.86                                    0.3915047
0.87                                    0.3547139
0.88                                    0.3053891
0.89                                    0.3883828
0.9                                     0.3544578
0.91                                    0.3383774
0.92                                    0.3416241
0.93                                    0.309202
0.94                                    0.3526342
0.95                                    0.313042
0.96                                    0.3245561
0.97                                    0.3776948
0.98                                    0.3335845
0.99                                    0.3016534
1.0                                     0.3025658


# Two-point Correlation Function (1/um)
--------------------------------------------------
lag (px)                                Value
--------------------------------------------------
0.5                                     0.0587632
1.0                                     0.0604483
1.5                                     0.0592043
2.0                                     0.0560247
2.5                                     0.0553366
3.0                                     0.0601691
3.5                                     0.0594893
4.0                                     0.0558929
4.5                                     0.0552336
5.0                                     0.0581052
5.5                                     0.0547108
6.0                                     0.0557849
6.5                                     0.0555635
7.0                                     0.052335
7.5                                     0.0501093
8.0                                     0.0515588
8.5                                     0.0494918
9.0                                     0.0562382
9.5                                     0.0523629
10.0                                    0.05122
10.5                                    0.0594396
11.0                                    0.0475053
11.5                                    0.0550679
12.0                                    0.0506979
12.5                                    0.052501
13.0                                    0.0479153
13.5                                    0.054452
14.0                                    0.0559592
14.5                                    0.0502007
15.0                                    0.0469752
15.5                                    0.0471312
16.0                                    0.0498571
16.5                                    0.0502176
17.0                                    0.0492102
17.5                                    0.0467386
18.0                                    0.0463597
18.5                                    0.0496824
19.0                                    0.0454443
19.5                                    0.0506639
20.0                                    0.0510127
20.5                                    0.0468164
21.0                                    0.0484485
21.5                                    0.0493791
22.0                                    0.048254
22.5                                    0.046675
23.0                                    0.0451154
23.5                                    0.0447475
24.0                                    0.0454825
24.5                                    0.0480868
25.0                                    0.047581
25.5                                    0.0477928
26.0                                    0.0480891
26.5                                    0.0462098
27.0                                    0.044401
27.5                                    0.050036
28.0                                    0.0493151
28.5                                    0.0419559
29.0                                    0.0503298
29.5                                    0.0453927
30.0                                    0.0418283
30.5                                    0.050829
31.0                                    0.0471854
31.5                                    0.0509443
32.0                                    0.0461799
32.5                                    0.047598
33.0                                    0.0468103
33.5                                    0.0474262
34.0                                    0.0482149
34.5                                    0.0291604
35.0                                    0.0484934
35.5                                    0.0430181
36.0                                    0.0496922
36.5                                    0.0489756
37.0                                    0.0491019
37.5                                    0.0490588
38.0                                    0.04203
38.5                                    0.0439385
39.0                                    0.0387803
39.5                                    0.0447671
40.0                                    0.05229
40.5                                    0.046678
41.0                                    0.0509558
41.5                                    0.0498071
42.0                                    0.0437844
42.5                                    0.0517043
43.0                                    0.044414
43.5                                    0.0455836
44.0                                    0.0501089
44.5                                    0.0431321
45.0                                    0.0446857
45.5                                    0.0496339
46.0                                    0.043681
46.5                                    0.0447431
47.0                                    0.0494598
47.5                                    0.0444218
48.0                                    0.0428855
48.5                                    0.0463717
49.0                                    0.0432527
49.5                                    0.0440305
50.0                                    0.0454572


# Pore Radius Distribution (um)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    92.2525302
0.02                                    90.7505003
0.03                                    87.495843
0.04                                    87.7760723
0.05                                    95.2233073
0.06                                    84.557609
0.07                                    98.5351716
0.08                                    96.0293385
0.09                                    107.802516
0.1                                     88.5557711
0.11                                    112.2275914
0.12                                    108.0656031
0.13                                    112.2479993
0.14                                    95.1193441
0.15                                    105.0632828
0.16                                    99.9031437
0.17                                    95.837723
0.18                                    89.3487395
0.19                                    108.7489326
0.2                                     114.5871688
0.21                                    106.0478442
0.22                                    129.6119979
0.23                                    103.2519146
0.24                                    95.0867422
0.25                                    106.0454249
0.26                                    112.9865981
0.27                                    110.9724575
0.28                                    106.7056896
0.29                                    108.2338574
0.3                                     111.9539833
0.31                                    107.9485921
0.32                                    99.4866729
0.33                                    113.1228686
0.34                                    112.8797414
0.35                                    107.8327453
0.36                                    103.4115052
0.37                                    102.6710585
0.38                                    98.6084743
0.39                                    118.6002717
0.4                                     92.0778016
0.41                                    95.1149487
0.42                                    117.1334455
0.43                                    107.9216789
0.44                                    117.9562972
0.45                                    111.6481614
0.46                                    106.0584288
0.47                                    95.8698339
0.48                                    114.0163118
0.49                                    104.7602833
0.5                                     125.3903094
